Jio mobile plan recharge,799,Utilities
Hotstar annual subscription,400,Entertainment
Google Workspace subscription,499,Utilities
Bought laptop bag on Amazon,890,Shopping
Purchased study table,3000,Housing
School uniform purchase,550,Education
Lunch at college canteen,220,Food
Taxi fare from airport to home,600,Transport
Snacks at multiplex,180,Food
Bought books for semester,950,Education
Bought a villa near Chennai,2500000,Housing
Down payment for flat booking,500000,Housing
Interior design consultation,15000,Housing
Repainted kids room,8500,Housing
Kitchen chimney purchase,7600,Housing
Refilled asthma inhaler,700,Health
Orthopedic consultation post fracture,1800,Health
Dermatologist visit for acne,900,Health
Bought multivitamins online,550,Health
Annual health checkup package,2999,Health
Netflix yearly renewal,1499,Entertainment
Purchased PlayStation 5,45000,Entertainment
Bought concert tickets online,2400,Entertainment
Subscribed to Twitch streamer,350,Entertainment
Rented movie via Google Play,120,Entertainment
Bought Java course on edX,1999,Education
Paid for IELTS coaching,8500,Education
Enrolled in photography workshop,2300,Education
Renewed Pluralsight subscription,999,Education
Purchased Python bootcamp access,1250,Education
Bought winter clothes from H&M,4500,Shopping
Ordered wall posters from Amazon,899,Shopping
Purchased kitchen organizer from Flipkart,599,Shopping
Gifted perfume to friend,1100,Shopping
Purchased formal shoes for office,2899,Shopping
Bought lunchbox set from BigBasket,699,Food
Ordered Diwali sweets online,950,Food
Late-night McDonald's delivery,410,Food
Purchased groceries from Reliance Smart,1150,Food
Bought 10-liter water can,120,Food
Booked intercity cab from Bangalore to Mysore,3500,Transport
Prepaid bus pass recharge,1150,Transport
Bike servicing at Hero showroom,950,Transport
Bought Fastag recharge,500,Transport
Hired tempo for shifting luggage,1800,Transport
Paid gas bill via Paytm,1350,Utilities
Mobile data top-up recharge,249,Utilities
Subscribed to Apple One bundle,999,Utilities
Renewed antivirus software license,1199,Utilities
Paid for cloud storage Google One,130,Utilities

